ID,Cow ID,Date,Ruminating(min),Eating(min),Sitting(min),Standing(min),Coughing(count),Resting(min),Activity Rate,Mounting(count),Sniffing,Heat Detection(count),SIT+STAND(min),Data Collection Rate(%)
2,COW-10000246,03/06/2025,329.6667,182.1667,766.1667,674.6667,2,208.6667,72.73237994,9,131.90994809858367,0,1440.8333,100
2,COW-10000246,04/06/2025,284,204.3333,773.8333,666.8333,5,218.8333,75.34066394,5,133.9084846782552,0,1440.6667,100
2,COW-10000246,05/06/2025,295.1667,178.3333,868,572.8333,10,259.3333,64.14750696979829,4,119.46139907616283,0,1440.8333,100
2,COW-10000246,06/06/2025,325.1667,237.6667,731.1667,709.5,2,221.6667,78.38417487473248,14,148.98042180150927,0,1440.6667,100
2,COW-10000246,07/06/2025,456.5,230.8333,805.6667,635,2,206,75.64143126565844,15,134.6617398,0,1440.6667,100
2,COW-10000246,08/06/2025,469.8333,187.3333,862.6667,578,4,181.3333,70.12875388806091,5,129.45937360121883,0,1440.6667,100
2,COW-10000246,09/06/2025,366.8333,200.5,565,875.6667,0,166.8333,90.58653839,10,179.2906632747765,0,1440.6667,100
2,COW-10000246,10/06/2025,339.8333,149.6667,755.8333,685,4,253.6667,71.51074204629663,10,143.21519426971312,0,1440.8333,100
2,COW-10000246,11/06/2025,344.3333,201.6667,681,759.6667,3,184.5,79.53385366769038,16,155.17227767739567,1,1440.6667,100
2,COW-10000246,12/06/2025,370.1667,187.3333,559.6667,881.1667,2,138.3333,89.30579990014098,6,170.6359266697016,0,1440.8333,100
2,COW-10000246,13/06/2025,368.3333,357.1667,736.1667,704,0,190.5,101.88013886207922,16,163.55452032611265,0,1440.1667,100
2,COW-10000246,14/06/2025,470,186.6667,930.8333,509.6667,0,259,74.07168210828578,9,130.82091249719505,0,1440.5,100
2,COW-10000246,15/06/2025,227.8333,404.6667,745.1667,695.5,0,307.5,100.54245955411177,10,155.62428947070967,0,1440.6667,100
2,COW-10000246,16/06/2025,281.6667,330,745.8333,694.8333,5,252.8333,99.74584541514979,18,169.52091408570237,0,1440.6667,100
2,COW-10000246,17/06/2025,348.5,235.6667,780.5,660.3333,2,242.1667,74.70190761515417,8,142.3784944127239,0,1440.8333,100
2,COW-10000246,18/06/2025,391.1667,246,806.1667,634.6667,2,210.5,75.19432301739174,13,140.1584938097855,0,1440.8333,100
2,COW-10000246,19/06/2025,343.3333,195.8333,844.5,596.1667,0,265.1667,68.23895709926141,11,127.81066347304895,0,1440.6667,100
2,COW-10000246,20/06/2025,374.8333,225.1667,822.6667,618,0,226.3333,73.86376334582695,8,138.61284326591297,0,1440.6667,100
